スポット名,口コミ数
横浜第２合同庁舎［旧生糸検査所］,17
横浜山手・テニス発祥記念館,17
シルク博物館,16
glas hytta''nakaNo blow Way''（吹きガラス工房nakaNo）,16
自然館泉,16
Yokohama Sky Cruise,16
京急金沢八景駅,15
損保ジャパン日本興亜馬車道ビル［旧川崎銀行横浜支店］,15
ハピピランド横浜アソビル店,15
日本大通り駅,15
オリジナル香水作り×フレグランス診断 Petit 横浜店,15
キャンドル工房＆ギャラリー あおたま別館,15
ビックカメラ横浜西口店,15
岩崎ミュージアム,15
日米和親条約締結の碑,15
レクトラベル,15
ラッシュ,14
Yokohama　Very　Berry,14
横浜都市発展記念館,14
Yokohama Red-Bear,14
the BERRY YOKOHAMA,14
アイスクリーム発祥の地,14
県立神奈川近代文学館,13
照宝,13
横浜釣り堀王国,13
崎陽軒 横浜工場,13
山手公園,13
柏尾川堤の桜,13
横浜開港資料館旧館［旧横浜英国総領事館］,13
プティアメリ,13
横浜市大倉山記念館（旧大倉精神文化研究所本館）,13
アトリエ　エン,12
こどもの国スケートリンク,12
横浜サロンドブロッサム,12
鉄道発祥記念碑,12
横濱００１ヨコハマグッズショップ,12
神奈川県立金沢文庫,12
大倉山公園,12
フクゾー洋品店,12
スリーモンキーズテラス横浜関内店,12
Wailea　元町本店,11
ミハマ商会　元町本店,11
よこはまあさひブルーベリーの森,11
徳江いちご農園,11
源豊行本店,11
横浜フィッシングピアーズ本牧海づり施設,11
ヨコヤマ ユーランド鶴見,11
TSUTAYA 横浜みなとみらい店,11
旧富士銀行横浜支店［旧安田銀行横浜支店］,11
新横浜　プリンセサ,11
野島公園展望台,11
Sport Intelligence,10
長浜公園,10
カモメの水兵さん歌碑,10
スノーヴァ新横浜,10
Atsuko Matano Gallery　ランドマークプラザ店,9
おふろの王様　港南台店,9
ビール発祥の地（麒麟麦酒開源記念碑）,9
セブンイレブン横浜中華街東門店,9
KAORICREATE GLUCK YOKOHAMA,9
ナビオス横浜,9
(公社)神奈川県観光協会,9
野毛山公園の桜,9
湘南気分,9
スタージュエリー ランドマークプラザ店,9
こどもの国の桜,9
横浜あおば玉田ガラス工房,9
川戸ファーム,9
横浜SUP倶楽部,9
横浜市児童遊園地,9
山手公園管理事務所（旧山手６８番館）,9
ダイエー横浜西口店,9
クルージングBAR横浜パラダイス,9
東急東横線反町駅,8
チャイナハウス　カモメ,8
ビックカメラアウトレット横浜ビブレ店,8
メーカーズシャツ鎌倉,8
神奈川芸術劇場,8
スタジオ　マリーローラ,8
横浜市営地下鉄あざみ野駅,8
HARRY横浜店,8
横浜ユーラシア文化館,8
岡田邸,8
みなとみらい線 新高島駅,8
ココナッツ横浜店,8
スポーツオーソリティ・ＭＡＲＫ ＩＳみなとみらい店,7
みその公園「横溝屋敷」,7
横浜市役所,7
ふくろうカフェ福来楼本牧店,7
日産自動車（株）横浜工場,7
横浜市八聖殿郷土資料館,7
くつ幸房 IPPO,7
旧東京三菱銀行横浜中央支店（旧第百銀行横浜支店）,7
市ケ尾横穴古墳群,7
ふれーゆ,7
関東学院中学校,7
トリコロールワン スタジアムショップ,7
小机城址市民の森,7
あかいくつ,7
ローソン西横浜駅前店,7
STUDIO GLASSNOTE,7
三殿台遺跡,7
鶴見神社,7
陶房ａｇｅｔｓｕ,7
ボルダリングジムビッグロック京急鶴見店,7
相模鉄道天王町駅,7
キッズランドUS 横浜希望が丘店,7
高島中央公園,7
石橋邸,7
ＪＲ新子安駅,7
タカラダ,7
横浜郵船ビル,7
トヨタレンタリース神奈川　あざみ野駅前店,7
横浜ハーバリウム弐番店,6
相模鉄道西横浜駅,6
日清オイリオウェルネスギャラリー,6
コリア庭園,6
エディー・バウアークイーンズスクエア横浜店,6
神奈川運上所跡,6
東急東横線・目黒線日吉駅,6
QB House 市営地下鉄横浜駅店,6
PREMIEREYOKOHAMAの庭～空と大地の恵みとBBQ～,6
リーフみなとみらい,6
M couleur,6
横浜スカイクルーズ,6
食品さんぷる畑,6
日本ガス事業発祥の地,6
JR鶴見駅,6
